Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty,Gross Amount,Discount Amount,Net Amount,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
1600000000375910675,1600000000375910674,1600000000375910672,Food Menu,Thick Shakes,,Vanila Vibe,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910678,1600000000375910677,1600000000375910672,Food Menu,Thick Shakes,,Choclate Rush,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910680,1600000000375910679,1600000000375910672,Food Menu,Thick Shakes,,Strawbery Swirl,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910682,1600000000375910681,1600000000375910672,Food Menu,Thick Shakes,,Mango Mood,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000375910684,1600000000375910683,1600000000375910672,Food Menu,Thick Shakes,,Oreo Craze,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000394978271,1600000000394978270,,Food Menu,Bar Bites,,,2.94,3.0,8.82,0.00,8.82,0,0.002214022140221402,6.723442402510085E-4,0,4.92706326360403E-4,2.2101828788509057E-4
1600000000402457569,1600000000402457568,1600000000394978271,Food Menu,Bar Bites,,Monkey Masala Peanuts,2.94,3.0,8.82,0.00,8.82,1.0,0.002214022140221402,6.723442402510085E-4,1.0,4.92706326360403E-4,2.2101828788509057E-4
1600000000402457571,1600000000402457570,1600000000394978271,Food Menu,Bar Bites,,Monkey Masala Roasted Chickpeas,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000402457573,1600000000402457572,1600000000394978271,Food Menu,Bar Bites,,Golden Monkey Mix,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000402457575,1600000000402457574,1600000000394978271,Food Menu,Bar Bites,,Double Golden Monkey Mix,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0
1600000000409820288,1600000000410183868,,Food Menu,Gyros,,,16.42,65.0,1067.62,112.78,954.84,0,0.04797047970479705,0.014567458538771852,0,0.05333964950815954,0.02392710907077096
1600000000410047388,1600000000410320826,1600000000409820288,Food Menu,Gyros,,Falafel Gyro,13.99,3.0,41.97,0.00,41.97,0.046153846153846156,0.002214022140221402,6.723442402510085E-4,0.04395500816890788,0.0023445447298578357,0.0010517162746640873
1600000000410047389,1600000000410320827,1600000000409820288,Food Menu,Gyros,,Chicken Gyro,14.99,12.0,179.88,47.22,132.66,0.18461538461538463,0.008856088560885609,0.002689376961004034,0.13893427171044362,0.007410705357706468,0.003324295472883913
1600000000449341364,1600000000449364881,1600000000409820288,Food Menu,Gyros,,Lamb Gyro,16.025,32.0,512.80,65.56,447.24,0.49230769230769234,0.023616236162361623,0.007171671896010758,0.46839261028025636,0.02498389766456084,0.01120728107411881
1600000000505928533,1600000000505928532,1600000000409820288,Food Menu,Gyros,,Combo gyro,19.484,10.0,194.84,0.00,194.84,0.15384615384615385,0.007380073800738007,0.0022411474675033617,0.2040551296552302,0.01088422909615203,0.004882449343711003
1600000000505963786,1600000000505963785,1600000000409820288,Food Menu,Gyros,,Steak gyro,17.26625,8.0,138.13,0.00,138.13,0.12307692307692308,0.005904059040590406,0.0017929179740026895,0.1446629801851619,0.007716272659882365,0.003461366905393147
1600000000417377179,1600000000417450547,,Food Menu,5 Monkey's Classics,,,25.05,68.0,1703.12,155.08,1548.04,0,0.05018450184501845,0.01523980277902286,0,0.08647722238763697,0.03879196716299723
1600000000417580100,1600000000417450548,1600000000417377179,Food Menu,5 Monkey's Classics,,Rib Eye Steak,26.717272727272725,32.0,851.68,86.97,764.71,0.47058823529411764,0.023616236162361623,0.007171671896010758,0.4939859435156715,0.0427185322937714,0.01916268649984213
